iter,loss,acc_seg,lr
23300,0.1297,96.3163,5.1748e-05
23350,0.153,94.3044,5.1729e-05
23400,0.1857,88.2012,5.171e-05
23450,0.3178,72.9296,5.1691e-05
23500,0.185,94.2241,5.1672e-05
23550,0.1669,97.3232,5.1653e-05
23600,0.1766,94.7545,5.1634e-05
23650,0.0778,98.0083,5.1615e-05
23700,0.1526,93.4219,5.1597e-05
23750,0.1869,87.5228,5.1578e-05
23800,0.1422,95.3336,5.1559e-05
23850,0.1427,96.2175,5.154e-05
23900,0.1046,84.3277,5.1521e-05
23950,0.2009,98.3956,5.1502e-05
24000,0.1816,94.8934,5.1483e-05
24050,0.1473,97.6841,5.1464e-05
24100,0.1503,90.1538,5.1445e-05
24150,0.1422,94.1559,5.1426e-05
24200,0.0979,96.4781,5.1407e-05
24250,0.1121,93.9315,5.1388e-05
24300,0.1522,96.2302,5.1369e-05
24350,0.1259,91.7207,5.135e-05
24400,0.1325,95.6547,5.1332e-05
24450,0.1691,92.01,5.1313e-05
24500,0.1793,96.2973,5.1294e-05
24550,0.1142,95.5575,5.1275e-05
24600,0.1726,94.495,5.1256e-05
24650,0.178,88.1788,5.1237e-05
24700,0.1795,96.0704,5.1218e-05
24750,0.1076,97.225,5.1199e-05
24800,0.1902,94.6749,5.118e-05
24850,0.1742,93.9683,5.1161e-05
24900,0.1567,96.5625,5.1142e-05
24950,0.0945,96.8481,5.1123e-05
25000,0.1341,94.4415,5.1104e-05
25050,0.1422,90.4586,5.1085e-05
25100,0.086,95.1968,5.1067e-05
25150,0.1639,98.4431,5.1048e-05
25200,0.112,95.3361,5.1029e-05
25250,0.1989,89.9629,5.101e-05
25300,0.1418,96.2215,5.0991e-05
25350,0.1452,94.8031,5.0972e-05
25400,0.191,95.8173,5.0953e-05
25450,0.0904,97.8287,5.0934e-05
25500,0.2223,68.4546,5.0915e-05
25550,0.1005,95.4603,5.0896e-05
25600,0.1351,96.3758,5.0877e-05
25650,0.1449,93.5871,5.0858e-05
25700,0.1354,98.518,5.0839e-05
25750,0.1163,93.8325,5.0821e-05
25800,0.1318,96.6239,5.0802e-05
25850,0.1292,93.7065,5.0783e-05
25900,0.1239,95.6502,5.0764e-05
25950,0.157,93.5908,5.0745e-05
26000,0.109,91.6928,5.0726e-05
26050,0.2143,97.3153,5.0707e-05
26100,0.1532,94.0678,5.0688e-05
26150,0.1361,96.9891,5.0669e-05
26200,0.1542,91.86,5.065e-05
26250,0.3268,94.5788,5.0631e-05
26300,0.147,98.3785,5.0612e-05
26350,0.3644,86.4283,5.0593e-05
26400,0.1068,96.9888,5.0574e-05
26450,0.1293,96.7589,5.0556e-05
26500,0.1286,97.2637,5.0537e-05
26550,0.1014,97.7758,5.0518e-05
26600,0.1144,97.259,5.0499e-05
26650,0.1724,96.3779,5.048e-05
26700,0.1805,89.7169,5.0461e-05
26750,0.16,96.4691,5.0442e-05
26800,0.1533,92.2969,5.0423e-05
26850,0.1028,95.0733,5.0404e-05
26900,0.1281,98.0042,5.0385e-05
26950,0.217,81.3998,5.0366e-05
27000,0.1552,81.9266,5.0347e-05
27050,0.1182,95.7522,5.0328e-05
27100,0.0754,98.4514,5.0309e-05
27150,0.1237,89.8305,5.0291e-05
27200,0.1332,83.639,5.0272e-05
27250,0.1412,97.0055,5.0253e-05
27300,0.0951,98.8452,5.0234e-05
27350,0.2237,96.9381,5.0215e-05
27400,0.1388,96.4971,5.0196e-05
27450,0.1819,97.3164,5.0177e-05
27500,0.1379,97.811,5.0158e-05
27550,0.1637,94.1949,5.0139e-05
27600,0.2131,95.1772,5.012e-05
27650,0.215,98.1022,5.0101e-05
27700,0.1548,98.2577,5.0082e-05
27750,0.1519,84.9678,5.0063e-05
27800,0.1228,89.2569,5.0044e-05
27850,0.1102,97.5734,5.0026e-05
27900,0.121,94.821,5.0007e-05
27950,0.1044,93.3787,4.9988e-05
28000,0.1837,96.7227,4.9969e-05
28050,0.151,97.309,4.995e-05
28100,0.1626,95.6918,4.9931e-05
28150,0.0997,96.1263,4.9912e-05
28200,0.2094,94.9226,4.9893e-05
28250,0.169,91.7294,4.9874e-05
28300,0.0889,93.2345,4.9855e-05
28350,0.1719,95.4272,4.9836e-05
28400,0.13,95.0612,4.9817e-05
28450,0.129,93.7551,4.9798e-05
28500,0.1594,90.6026,4.9779e-05
28550,0.1342,94.1722,4.9761e-05
28600,0.1783,95.6231,4.9742e-05
28650,0.2595,94.9653,4.9723e-05
28700,0.1489,95.7999,4.9704e-05
28750,0.1279,83.3407,4.9685e-05
28800,0.1963,92.7192,4.9666e-05
28850,0.1569,96.531,4.9647e-05
28900,0.1141,89.7072,4.9628e-05
28950,0.1204,94.7576,4.9609e-05
29000,0.1311,97.9408,4.959e-05
29050,0.1655,92.8983,4.9571e-05
29100,0.1818,96.6425,4.9552e-05
29150,0.1183,94.7903,4.9533e-05
29200,0.1309,97.1513,4.9515e-05
29250,0.242,94.2661,4.9496e-05
29300,0.1092,98.0507,4.9477e-05
29350,0.093,93.682,4.9458e-05
29400,0.1413,87.8196,4.9439e-05
29450,0.2198,87.725,4.942e-05
29500,0.3303,92.6553,4.9401e-05
29550,0.1211,82.1562,4.9382e-05
29600,0.2011,95.9715,4.9363e-05
29650,0.1116,95.6909,4.9344e-05
29700,0.153,89.7414,4.9325e-05
29750,0.0902,97.7393,4.9306e-05
29800,0.0961,98.5365,4.9287e-05
29850,0.1434,92.48,4.9268e-05
29900,0.1151,90.9247,4.925e-05
29950,0.1555,96.6554,4.9231e-05
30000,0.1782,98.5944,4.9212e-05
30050,0.1477,98.0155,4.9193e-05
30100,0.1608,96.7128,4.9174e-05
30150,0.1313,94.1797,4.9155e-05
30200,0.1129,96.7354,4.9136e-05
30250,0.1603,94.5657,4.9117e-05
30300,0.1226,96.2731,4.9098e-05
